disaron_nom,nom_fichier,success,url_fichier
IraAbo22030,2022_30_InforapOvins.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22030/2022_30_InforapOvins.pdf
IraCpr2043,2020_43inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2043/2020_43inforapcoutsprod.pdf
IraCpr2043,2020_43donneescoutsprod.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2043/2020_43donneescoutsprod.xls
IraCpr21040,2021_40inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr21040/2021_40inforapcoutsprod.pdf
IraCpr21040,2021_40donneescoutsprod.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr21040/2021_40donneescoutsprod.xls
IraFru23141,null,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru23141/null
IraLeg22135,2022_135inforapcarotte.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraLeg22135/2022_135inforapcarotte.pdf
