disaron_nom,nom_fichier,success,url_fichier
Ana168-en,Analyse_1682108_en.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Ana168-en/Analyse_1682108_en.pdf
Ana169,Analyse_1692111.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Ana169/Analyse_1692111.pdf
Aut007,CEP_Note_appel_à_projets_de_recherche 2023_Nouveaux actifs agricoles.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Aut007/CEP_Note_appel_%C3%A0_projets_de_recherche%202023_Nouveaux%20actifs%20agricoles.pdf
Chd1904,Donnees2019-4saa_Franceentiere_juin2019.ods,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd1904/Donnees2019-4saa_Franceentiere_juin2019.ods
Chd1904,cd2019-4saavprovisoire.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd1904/cd2019-4saavprovisoire.pdf
Chd1904,Donnees2019-4saa_Francemetro_juin2019.ods,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd1904/Donnees2019-4saa_Francemetro_juin2019.ods
Chd2007,cd2020-7_PratiquesPhytolégumes en 2018.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2007/cd2020-7_PratiquesPhytol%C3%A9gumes%20en%202018.pdf
Chd2020-1,cd2020-1_Rica(1).pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2020-1/cd2020-1_Rica%281%29.pdf
Chd2106-BAEA-R24,Chd2106-BAEA-R24.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2106-BAEA-R24/Chd2106-BAEA-R24.pdf
Chd2106-BAEA-R24,Chd2106-BAEA-R24.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2106-BAEA-R24/Chd2106-BAEA-R24.xlsx
Chd2106-BAEA-R27,Chd2106-BAEA-R27.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2106-BAEA-R27/Chd2106-BAEA-R27.pdf
Chd2106-BAEA-R27,Chd2106-BAEA-R27V2.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2106-BAEA-R27/Chd2106-BAEA-R27V2.pdf
Chd2106-BAEA-R27,Chd2106-BAEA-R27.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2106-BAEA-R27/Chd2106-BAEA-R27.xlsx
Chd2117,cd2021-17_Bois et sciages 2020.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2117/cd2021-17_Bois%20et%20sciages%202020.pdf
Chd2117,cd2021-17_Bois et sciages 2020.ods,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2117/cd2021-17_Bois%20et%20sciages%202020.ods
Chd2119,cd2021-19_PK Viti2019.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2119/cd2021-19_PK%20Viti2019.pdf
Chd2119,cd2021-19_DonnéesPrincipales_PK Viti2019.ods,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2119/cd2021-19_Donn%C3%A9esPrincipales_PK%20Viti2019.ods
Chd2119,cd2021-19_DonnéesComplémentaires_PK Viti2019.ods,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2119/cd2021-19_Donn%C3%A9esCompl%C3%A9mentaires_PK%20Viti2019.ods
Chd2206,cd2022-6_Territoires.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2206/cd2022-6_Territoires.pdf
Chd2206,Données-associées-cd2022-6_Territoires.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2206/Donn%C3%A9es-associ%C3%A9es-cd2022-6_Territoires.xlsx
Chd2211,cd2022-11_teruti_2018.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/Chd2211/cd2022-11_teruti_2018.pdf
