disaron_nom,nom_fichier,success,url_fichier
IraAbo22030,2022_30_InforapOvins.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22030%20/2022_30_InforapOvins.pdf
IraCpr2043,2020_43inforapcoutsprod.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr2043/2020_43inforapcoutsprod.pdf
IraCpr2043,2020_43donneescoutsprod.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr2043/2020_43donneescoutsprod.xls
IraCpr21040,2021_40inforapcoutsprod.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr21040/2021_40inforapcoutsprod.pdf
IraCpr21040,2021_40donneescoutsprod.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr21040/2021_40donneescoutsprod.xls
IraLeg22135,2022_135inforapcarotte.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraLeg22135/2022_135inforapcarotte.pdf
