disaron_nom,nom_fichier,url_fichier
IraAbo22030 ,2022_30_InforapOvins.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22030%20/2022_30_InforapOvins.pdf
 IraCpr2043,2020_43inforapcoutsprod.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr2043/2020_43inforapcoutsprod.pdf
 IraCpr2043,2020_43donneescoutsprod.xls,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr2043/2020_43donneescoutsprod.xls
 IraCpr21040,2021_40inforapcoutsprod.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr21040/2021_40inforapcoutsprod.pdf
 IraCpr21040,2021_40donneescoutsprod.xls,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraCpr21040/2021_40donneescoutsprod.xls
 IraLeg22135,2022_135inforapcarotte.pdf,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/%20IraLeg22135/2022_135inforapcarotte.pdf
