disaron_nom,nom_fichier,success,url_fichier,url
NES48-A1,NESE48 - La filiere laitiereV2.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES48-A1/NESE48%20-%20La%20filiere%20laitiereV2.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES48-A1/detail/"
NES48-A2,NESE48 - Prospective du pastoralisme francais.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES48-A2/NESE48%20-%20Prospective%20du%20pastoralisme%20francais.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES48-A2/detail/"
NES48-A3,NESE48 - Favoriser le déploiement de PSE en Agriculture.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES48-A3/NESE48%20-%20Favoriser%20le%20déploiement%20de%20PSE%20en%20Agriculture.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES48-A3/detail/"
NES48-A4,NESE48-Notes de lecture.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES48-A4/NESE48-Notes%20de%20lecture.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES48-A4/detail/"
NES49-A1,NESE49_Article1_Laurent PIET et al.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES49-A1/NESE49_Article1_Laurent%20PIET%20et%20al.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES49-A1/detail/"
NES49-A2,NESE49_Article2_Pascal GROUIEZ.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES49-A2/NESE49_Article2_Pascal%20GROUIEZ.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES49-A2/detail/"
NES49-A3,NESE49_Article3_Jean-Michel SOURISSEAU et al.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES49-A3/NESE49_Article3_Jean-Michel%20SOURISSEAU%20et%20al.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES49-A3/detail/"
NES49-A4,NESE49_Note de lecture.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES49-A4/NESE49_Note%20de%20lecture.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES49-A4/detail/"
NES50-A1,NESE50_DETANG-DESSENDRE et al. PAC et emploi agricole.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES50-A1/NESE50_DETANG-DESSENDRE%20et%20al.%20PAC%20et%20emploi%20agricole.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES50-A1/detail/"
NES50-A2,NESE50_LECOLE Les petites exploitations agricoles fran\xc3\xa7aises.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES50-A2/NESE50_LECOLE%20Les%20petites%20exploitations%20agricoles%20fran\xc3\xa7aises.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES50-A2/detail/"
NES50-A3,NESE50_COUDERT et al. La scierie de feuillus du futur.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES50-A3/NESE50_COUDERT%20et%20al.%20La%20scierie%20de%20feuillus%20du%20futur.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES50-A3/detail/"
NES50-A4,NESE50_Notes de lecture.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES50-A4/NESE50_Notes%20de%20lecture.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES50-A4/detail/"
NES51-A1,NESE_51_DEPEYROT_PARMENTIER_PERROT_Elevage de ruminants_ Vers une pénurie de main-d'oeuvre.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES51-A1/NESE_51_DEPEYROT_PARMENTIER_PERROT_Elevage%20de%20ruminants_%20Vers%20une%20pénurie%20de%20main-d'oeuvre.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES51-A1/detail/"
NES51-A2,NESE_51_CANTELAUBE et al. La construction d'un zonage agricole multi-enjeux.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES51-A2/NESE_51_CANTELAUBE%20et%20al.%20La%20construction%20d'un%20zonage%20agricole%20multi-enjeux.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES51-A2/detail/"
NES51-A3,NESE_51_JOYA_HAMON_Logistique et développement de systèmes de culture diversifiés.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES51-A3/NESE_51_JOYA_HAMON_Logistique%20et%20développement%20de%20systèmes%20de%20culture%20diversifiés.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES51-A3/detail/"
NES51-A4,NESE_51_Notes de lecture.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/NES51-A4/NESE_51_Notes%20de%20lecture.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/NES51-A4/detail/"
VeiCEP2602,Bulletin-de-veille-CEP-fevrier-2026.pdf,0,"https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/VeiCEP2602/Bulletin-de-veille-CEP-fevrier-2026.pdf","https://agreste.agriculture.gouv.fr/agreste-web/disaron/VeiCEP2602/detail/"
