Disaron_lien_origine,Nom_Disaron,Titre Disaron,Paru le,Annee_1re publication,Publication-Tableau-Carte,Collection Libellé Agreste,Sous-Collection Libellé Agreste,Sous-collection (nom court),Thèmes_CORRIGÉS,Thème CORRIGÉ-1,Thème CORRIGÉ-2,NB-THEM,Pondération,Descripteurs
,IraLai25112,Lait. La collecte de lait de vache progresse légèrement sur un an,2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Lait,Lait,LAIT,,,,,
,IraFru25113,Pomme. Une production en légère baisse par rapport à 2024,2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,POMME
,IraFru25114,Poire. Une production 2025 attendue en baisse et des prix hauts en début de campagne,2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,POIRE
,IraGcu25115,Grandes cultures. Les rendements 2025 du maïs et du tournesol impactés par les conditions climatiques de l’été,2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC,,,,,
,IraCpr25116,"Coûts de production. Prix des intrants en juillet 2025 : + 0,3 % sur un mois, - 0,6 % sur un an",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Coûts de production,Coûts de production,PRIX,,,,,
,IraAla25117,"Alimentation animale. Au 2e trimestre 2025, léger rebond de la production et baisse du prix des aliments pour animaux sur un an",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Alimentation animale,Alimentation animale,PRAELEV,,,,,
,IraAbo25118,"Bovins. En août 2025, nouveau repli des abattages de bovins",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,BOVIN,,,,,BOVIN
,IraAbo25119,"Ovins. En août, faible recul des abattages d’agneaux sur un an",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,CAPOV,,,,,OVIN
,IraAbo25120,"Porcins. En août, hausse modérée des abattages de porcs sur un an",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,PORC,,,,,PORCIN
,IraPra25121,"Prairies. En septembre 2025, reprise de la pousse de l’herbe",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Prairies,Prairies,FOURRAGE,,,,,
,IraLeg25122,Concombre. Une campagne 2025 avec des rendements en hausse,2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,CONCOMBRE
,IraFru25123,Fraise. Une production de fraises en léger recul en 2025,2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,FRAISE
,IraLeg25124,"Melon. Une récolte 2025 avec de bons volumes, mais des prix bas",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,MELON
,IraLeg25125,Tomate. Un marché actif sur l’été qui a soutenu les prix,2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,TOMATE
,IraPri25126,"Prix agricoles et alimentaires. En août 2025, les prix à la production progressent de 5,2 % sur un an, tirés par la hausse du prix du bétail",2025_09,2025,p,Conjoncture – Infos Rapides,Infos Rap - Prix,Prix,PRIX,,,,,
,IraAvi25127,"Aviculture. En août, légère hausse des abattages de volailles, portée par le poulet et la dinde",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Aviculture,Aviculture,VOLAIL,,,,,
,IraVit25128,Viticulture. Une production viticole 2025 estimée à 36 millions d’hectolitres,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Viticulture,Viticulture,VITI,,,,,
,IraFru25129,"Pomme. Une production en léger repli, des prix modérés en début de campagne",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,POMME
,IraFru25130,Poire. L’offre réduite en poires d’été soutient les prix en début de campagne,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,POIRE
,IraCex25131,"Commerce extérieur agroalimentaire. En août 2025, la baisse des exportations de vins et spiritueux pèse sur le solde des échanges agroalimentaires ",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Commerce extérieur,Commerce extérieur,COMEXT,,,,,
,IraGcu25132,Grandes cultures. Chaleurs et sécheresse ont affecté les rendements du tournesol au sud de la Loire,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC,,,,,
,IraLai25133,Lait. La collecte de lait de vache progresse sur un an,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Lait,Lait,LAIT,,,,,
,IraCpr25134,"Coûts de production. Prix des intrants en août 2025 : − 0,7 % sur un mois, − 0,5 % sur un an",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Coûts de production,Coûts de production,PRIX,,,,,
,IraPra25135,"Prairies. En octobre 2025, la pousse de l’herbe s’améliore, malgré un déficit persistant au Nord",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Prairies,Prairies,FOURRAGE,,,,,
,IraEng25136,Engrais. Stabilité des livraisons d’engrais azotés lors de la campagne 2024-2025,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Engrais,Engrais,PROT,,,,,ENGRAIS
