Garder/Exclure,Nb de hits (à fin févr. 2026),disaron:nom_old,disaron:nom,dc:title,disaron:Complement_titre,disaron:chapeau,disaron:Auteur,disaron:categorie,disaron:collection,disaron:sous_collection,disaron:theme,disaron:annees_reference,disaron:descripteur,disaron:niveau_geographique,disaron:Date_premiere_publication,disaron:date_derniere_publication,ecm:versionLabel,disaron:Numerotation,url,nb de fichiers,noms des fichiers,urls des fichiers,disaron:date_modification,disaron:donnees,trouvé Estelle ?,lost,collection,themes,"themes_NEW-codes, avec les 4 catégo OLD à ôter (TOUTCULT, TOUTCHEP, AGROENV et GRAMEM)","theme_principal, via IA Mistral",PUBLICATIONS et CEP  Agreste2.0,Collection Agreste 2.0 fixed,Sous-Collection Agreste 2.0,Champ d'activité CEP,Fichiers manquants,Nb de pages,"themes_NEW-codes_revus-PB, sans les 4 anc catego fourre-tout"
Garder,345,Ana105,Ana105,Les formations par alternance sous statut scolaire dans l’enseignement agricole : enjeux et perspectives,,"La formation par alternance sous statut scolaire représente un tiers des inscrits de l’enseignement technique agricole. Cette étude permet de mieux connaître les caractéristiques de ce dispositif, ses atouts et fragilités.","[{nom_auteur=Dominique Vial (Amnyos), prenom_auteur=Madeleine Lesage (CEP), Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,AGROFORM|ANASOC|EVALPOL,2017,,FRANCE,2017/10/23 00:00,2020/02/04 23:19,0.1,105,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana105/detail/,,,,2017/10/23 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1051710.pdf\""}]",,0,,"Formation|Aides, PAC, Politiques publiques",AGROFORM|AIDPOLITIQ,Formation,Études & prospective,Analyse,,Évaluation,,4,AGROFORM|AIDPOLITIQ
Garder,1134,Ana106,Ana106,Évaluation des paramètres de l’indemnité compensatoire de handicaps naturels (ICHN) : principaux résultats,,L’indemnité compensatoire de handicaps naturels (ICHN) corrige pour partie les conséquences économiques de la localisation des exploitations en montagne ou dans une autre « zone défavorisée ».,"[{nom_auteur=, prenom_auteur=, Structure=}]",NATIONAL,ANALYSE,,EVALPOL|AGROENV|ANAECO,2017,,FRANCE,2017/11/22 00:00,2020/02/04 23:18,0.1,106,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana106/detail/,,,,2017/11/22 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1061711.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Agriculture et environnement",AIDPOLITIQ|AGROENV,,Études & prospective,Analyse,,Évaluation,,4,AIDPOLITIQ|SOLBIODIV|EAU|CLIMAT|NRJ
Garder,2442,Ana107,Ana107,Les chocs de prix des matières premières agricoles : déterminants et anticipation,,"Cette note analyse les mouvements extrêmes des prix des matières premières agricoles qui ont eu lieu depuis 2007, en présente les déterminants et tente de définir des indicateurs permettant d’anticiper ces chocs de prix.","[{nom_auteur=Steve Ohana (ESCP Europe et Labex Refi), prenom_auteur= Jean-Noël Depeyrot (CEP), Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,ANAECO|AGROALIM,2017,,FRANCE,2017/11/24 00:00,2020/02/04 23:28,0.2,107,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana107/detail/,,,,2017/11/24 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1071711.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)",AIDPOLITIQ|IAA,"Aides, PAC, Politiques publiques",Études & prospective,Analyse,,Veille,,4,AIDPOLITIQ|IAA
Garder,1326,Ana108,Ana108,Les transformations du paysage laitier français avant la sortie des quotas,,"Cette note analyse la mutation rapide des exploitations laitières françaises, entre restructuration et concentration géographique, et les transformations de ces systèmes de production ainsi que leurs conséquences sur l’emploi.","[{nom_auteur=Depeyrot, prenom_auteur=Jean-Noël, Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,LAIT|TAILLE|ANAECO,2017,,FRANCE,2017/12/20 00:00,2020/02/04 23:19,0.1,108,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana108/detail/,,,,2017/12/20 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1081712.pdf\""}]",,0,,"Bovins, ovins, caprins, lait|Exploitations, spécialisation|Aides, PAC, Politiques publiques",CHEPTLAIT|EXPLOITSPEC|AIDPOLITIQ,"Bovins, ovins, caprins, lait",Études & prospective,Analyse,,Évaluation,,4,CHEPTLAIT|EXPLOITSPEC|AIDPOLITIQ
Garder,1486,Ana109,Ana109,"L’enseignement technique agricole : diplômes, insertions et perspectives d’emploi",,"Premier volet de la prospective sur l’évolution des métiers, des qualifications et des emplois liés à l’enseignement technique agricole, cette synthèse présente les principales tendances identifiées : qui forme-t-on, à quoi et pour quoi ?","[{nom_auteur=Mahé, prenom_auteur=Muriel, Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,AGROFORM|AGROEMP|ANASOC,2017,,FRANCE,2017/12/20 00:00,2020/02/04 23:19,0.1,109,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana109/detail/,,,,2017/12/20 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1091712.pdf\""}]",,0,,"Formation|Population agricole, emploi|Aides, PAC, Politiques publiques",AGROFORM|POPAGREMP|AIDPOLITIQ,Formation,Études & prospective,Analyse,,Politiques publiques,,4,AGROFORM|POPAGREMP|AIDPOLITIQ
Garder,41,Ana11,Ana11,Les enjeux de la régulation du secteur laitier,,"La crise profonde que traverse actuellement le secteur laitier tranche avec l’euphorie de l’année 2007. L’analyse structurelle de la filière, fondée essentiellement sur la grille d’analyse de l’économie publique, permet d’identifier, parmi les particularités de ce secteur, celles qui justifient la mise en place de régulations.",,NATIONAL,ANALYSE,,LAIT|IAAFIL|ANAECO,2009,,FRANCE,2009/07/01 00:00,,0.1,11,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana11/detail/,,,,2009/07/01 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana11.pdf\""}]",,0,,"Bovins, ovins, caprins, lait|Marchés, filières|Aides, PAC, Politiques publiques",CHEPTLAIT|IAAFIL|AIDPOLITIQ,"Bovins, ovins, caprins, lait",Études & prospective,Analyse,,Politiques publiques,,4,CHEPTLAIT|IAAFIL|AIDPOLITIQ
Garder,33,Ana11-en,Ana11-en,Regulations of the dairy sector: what’s at stake?,,"The profound crisis that the dairy sector is currently going through is in sharp contrast to the euphoria of 2007. Structural analysis of the sector, based largely on the criteria used by public economics, enables us to identify, among the specific features of the industry, those that justify the implementation of regulations. The characteristics of milk, a perishable, bulky product, and the concentration of processing factories mean that the relationship between production and primary processing is more akin to a captive market than to a competitive market. This market failure has major implications for both  price formation and the distribution of value-added. Alongside this, examination of the diversity, evolution and location of the farming systems highlights a second market failure, linked to environmental  and social external costs. How can these two failures, and the interactions between them, be corrected coherently? This is the initial central issue for the invention of modes of regulation that bring together  markets, contracts and public policy in the future.",,PUBENGL,ANALYSE,,LAIT|IAAFIL|ANAECO,2009,,FRANCE,2009/07/01 14:00,2020/11/26 17:26,0.1,11-en,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana11-en/detail/,,,,2009/07/01 14:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-11-26T16:18:52.305Z\""\,\""Fichier\"":\""Ana11Eng.pdf\""}]",,0,,"Bovins, ovins, caprins, lait|Marchés, filières|Aides, PAC, Politiques publiques",CHEPTLAIT|IAAFIL|AIDPOLITIQ,"Bovins, ovins, caprins, lait",Études & prospective,Analyse,,Politiques publiques,,4,CHEPTLAIT|IAAFIL|AIDPOLITIQ
Garder,642,Ana110,Ana110,"Métiers, qualifications et emplois liés à l’enseignement agricole : quatre scénarios d’ici 2030",,"Second volet de la prospective conduite par la DGER et le CEP, cette note décrit quatre portraits de la France en 2030, avec leurs conséquences sur les métiers et compétences dans les principaux secteurs d’emploi des diplômés de l’enseignement technique agricole.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,PROSP|AGROFORM|AGROEMP,2017,,FRANCE,2017/12/20 00:00,2020/02/04 23:19,0.1,110,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana110/detail/,,,,2017/12/20 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1101712.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Formation|Population agricole, emploi",AIDPOLITIQ|AGROFORM|POPAGREMP,"Population agricole, emploi",Études & prospective,Analyse,,Prospective,,4,AIDPOLITIQ|AGROFORM|POPAGREMP
Garder,1452,Ana111,Ana111,MOND’Alim 2030 : les acteurs de la mondialisation des systèmes alimentaires,,"S’appuyant sur le chapitre 5 de l’ouvrage MOND’Alim 2030, rédigé par le Centre d’études et de prospective, cette Analyse présente les grandes évolutions et les stratégies des acteurs de la mondialisation des systèmes alimentaires.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,COMPINT|AGROALIM|ALIMSECU,2018,,FRANCE,2018/02/05 00:00,2020/02/04 23:19,0.1,111,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana111/detail/,,,,2018/02/05 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1111801.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)|Santé, sécurité alimentaire",AIDPOLITIQ|IAA|SANTALIM,"Aides, PAC, Politiques publiques",Études & prospective,Analyse,,Prospective,,4,AIDPOLITIQ|IAA|SANTALIM
Garder,1094,Ana111-en,Ana111-en,MOND’Alim 2030 : the actors of food system globalization,,"The MOND’Alim 2030 exercise led by the Centre for Studies and Strategic Foresight is aimed at characterizing the current phase in globalization and documenting the main dynamics at work. Food systems result from multiple interactions between private and public actors: national governments, international organizations, multinational companies, NGOs, organized civil society, among others. The present Analysis isolates three main trends involving those actors: their increasing number, the growing complexity of their interactions and the hybridization of their statuses.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",PUBENGL,ANALYSE,,COMPINT|AGROALIM|ALIMSECU,2018,,FRANCE,2018/02/05 13:00,2020/12/03 16:52,0.1,111,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana111-en/detail/,,,,2018/02/05 13:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-12-03T15:18:12.155Z\""\,\""Fichier\"":\""Ana111Eng.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)|Santé, sécurité alimentaire",AIDPOLITIQ|IAA|SANTALIM,"Aides, PAC, Politiques publiques",Études & prospective,Analyse,,Prospective,,4,AIDPOLITIQ|IAA|SANTALIM
