disaron_nom,nom_fichier,success,url_fichier
IraAla2619,2026_19figuresAlimAni.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAla2619/2026_19figuresAlimAni.xlsx
IraAla2619,2026_19donneescomplémentaires.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAla2619/2026_19donneescomplémentaires.xlsx
IraAvi165,2018_165inforapaviculture_1_.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi165/2018_165inforapaviculture_1_.pdf
IraAvi20157,2020_157inforapaviculture.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi20157/2020_157inforapaviculture.pdf
IraAvi25127,2025_127inforapaviculture.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi25127/2025_127inforapaviculture.pdf
IraAvi25127,2025_127donnéesaviculture.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi25127/2025_127donnéesaviculture.xlsx
IraAvi25143,2025_143inforapaviculture.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi25143/2025_143inforapaviculture.pdf
IraAvi25143,2025_143donnéesaviculture.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi25143/2025_143donnéesaviculture.xlsx
IraAvi2602,2026_02inforapaviculture.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi2602/2026_02inforapaviculture.pdf
IraAvi2602,2026_02donnéesaviculture.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi2602/2026_02donnéesaviculture.xlsx
IraAvi2614,2026_14inforapaviculture.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi2614/2026_14inforapaviculture.pdf
IraAvi2614,2026_14donnéesaviculture.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAvi2614/2026_14donnéesaviculture.xlsx
IraCex152,2018_152inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex152/2018_152inforapcommerceext.pdf
IraCex18046,2018_046inforapcommerceexterieur.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex18046/2018_046inforapcommerceexterieur.pdf
IraCex18046,2018_046donneescommerceexterieur.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex18046/2018_046donneescommerceexterieur.xls
IraCex18102,2018_102inforapcommerceexterieur.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex18102/2018_102inforapcommerceexterieur.pdf
IraCex18102,2018_102donneescommerceexterieur.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex18102/2018_102donneescommerceexterieur.xls
IraCex19119,2019_119inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex19119/2019_119inforapcommerceext.pdf
IraCex19119,conjinforap201908ce_tdb.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex19119/conjinforap201908ce_tdb.pdf
IraCex19119,2019_119donneescommerceexterieur.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex19119/2019_119donneescommerceexterieur.xls
IraCex20100,2020_100inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex20100/2020_100inforapcommerceext.pdf
IraCex20100,2020_100donneescommerceexterieur.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex20100/2020_100donneescommerceexterieur.xls
IraCex20100,conjinforap202007ce_tdb.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex20100/conjinforap202007ce_tdb.pdf
IraCex2030,2020_30inforapcommerceext.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2030/2020_30inforapcommerceext.pdf
IraCex2030,conjinforap202003ce_tdb.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2030/conjinforap202003ce_tdb.pdf
IraCex2030,2020_30donneescommerceexterieur.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2030/2020_30donneescommerceexterieur.xls
IraCex21138,2021_138inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex21138/2021_138inforapcommerceext.pdf
IraCex21138,2021_138donneescommerceext.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex21138/2021_138donneescommerceext.xls
IraCex21138,conjinforap202110ce_tdb.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex21138/conjinforap202110ce_tdb.pdf
IraCex25131,2025-131_Inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex25131/2025-131_Inforapcommerceext.pdf
IraCex25131,conjinforap2025131ce_tdb.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex25131/conjinforap2025131ce_tdb.pdf
IraCex25131,2025_131donneescommerceext.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex25131/2025_131donneescommerceext.xls
IraCex25131,2025-131_Données-complémentaires.7z,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex25131/2025-131_Données-complémentaires.7z
IraCex2592,2025-92_Inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2592/2025-92_Inforapcommerceext.pdf
IraCex2592,conjinforap202592ce_tdb.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2592/conjinforap202592ce_tdb.pdf
IraCex2592,2025_92donneescommerceext.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2592/2025_92donneescommerceext.xls
IraCex2592,2025-92_Données-complémentaires.7z,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2592/2025-92_Données-complémentaires.7z
IraCex2603,2026_03inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2603/2026_03inforapcommerceext.pdf
IraCex2603,conjinforap202603ce_tdb.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2603/conjinforap202603ce_tdb.pdf
IraCex2603,2026_03donneescommerceext.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2603/2026_03donneescommerceext.xls
IraCex2603,2026-03_Données-complémentaires.7z,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2603/2026-03_Données-complémentaires.7z
IraCex2617,2026_17inforapcommerceext.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2617/2026_17inforapcommerceext.pdf
IraCex2617,conjinforap202617ce_tdb.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2617/conjinforap202617ce_tdb.pdf
IraCex2617,2026_17donneescommerceext.xls,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2617/2026_17donneescommerceext.xls
IraCex2617,2026-17_Données-complémentaires.7z,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCex2617/2026-17_Données-complémentaires.7z
IraCli015,2019_015inforapclimato.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCli015/2019_015inforapclimato.pdf
IraCli18060,2018_060inforapclimatologie.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCli18060/2018_060inforapclimatologie.pdf
IraCli18096,2018_096inforapclimato.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCli18096/2018_096inforapclimato.pdf
IraCli183,2018_183inforapclimato.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCli183/2018_183inforapclimato.pdf
IraCli19115,2019_115inforapclimato.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCli19115/2019_115inforapclimato.pdf
IraCli20176,2020_176inforapclimato.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCli20176/2020_176inforapclimato.pdf
IraCpr084,2019_084inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr084/2019_084inforapcoutsprod.pdf
