disaron_nom,disaron:theme,themes_labels,themes_codes
Dos20,STATUT,"Exploitations, spécialisation",EXPLOITSPEC
Dos2002,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
DOS201,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2019-1,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
DOS203,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos21,PROT|FERTI|AUTPRA|GC,Pratiques culturales|Grandes cultures,PRACULT|GC
Dos2101,VITI|PROT|FERTI,Viticulture|Pratiques culturales,VITI|PRACULT
Dos2102,PROT|GC,Pratiques culturales|Grandes cultures,PRACULT|GC
Dos2103,SOL|BIO|ANAECO,"Sol|Aides, PAC, Politiques publiques",SOLBIODIV|AIDPOLITIQ
Dos2104,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2105,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2106,PROT,Pratiques culturales,PRACULT
Dos22,PROT|FRUIT,Pratiques culturales|Fruits et légumes,PRACULT|FRUILEG
Dos2201,IAAENV|TIC|AGROALIM,Industries agro-alimentaires (IAA),IAA
Dos2202,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2203,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos23,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2301,AGROEMP,"Population agricole, emploi",POPAGREMP
Dos2302,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2303,AGROEMP,"Population agricole, emploi",POPAGREMP
Dos2304,RESECO|IAAFIL|BOVIN|LAIT,"Résultats économiques des exploitations|Marchés, filières|Bovins, ovins, caprins, lait",RESECOMPTE|IAAFIL|CHEPTLAIT
Dos2305,SOCIO|AGROEMP|TAILLE|TOUTCULT|TOUTCHEP,"Population agricole, emploi|Exploitations, spécialisation|Toutes cultures, productions végétales|Tous animaux, productions animales",POPAGREMP|EXPLOITSPEC|TOUTCULT|TOUTCHEP
Dos2306,SOCIO|AGROEMP|TAILLE|TOUTCULT|TOUTCHEP,"Population agricole, emploi|Exploitations, spécialisation|Toutes cultures, productions végétales|Tous animaux, productions animales",POPAGREMP|EXPLOITSPEC|TOUTCULT|TOUTCHEP
Dos24,PRIX|FRUIT|LEGUME,"Prix, coûts de production|Fruits et légumes",COUTPRIX|FRUILEG
Dos2401,IAAFIL|AGROENV,"Marchés, filières|Agriculture et environnement",IAAFIL|AGROENV
Dos2402,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2403,AGROEMP,"Population agricole, emploi",POPAGREMP
Dos2404,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos25,IAAECO|TISSU,Résultats économiques des IAA|Industries agro-alimentaires (IAA),IAAECO|IAA
Dos2501,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos2502,AGROEMP,"Population agricole, emploi",POPAGREMP
Dos2503,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos26,BIO,Sol,SOLBIODIV
Dos27,PROT|LEGUME,Pratiques culturales|Fruits et légumes,PRACULT|FRUILEG
Dos28,PROT|VITI,Pratiques culturales|Viticulture,PRACULT|VITI
Dos29,AGROINST|TAILLE|SOCIO,"Installation, équipement|Exploitations, spécialisation|Population agricole, emploi",INSTEQUIP|EXPLOITSPEC|POPAGREMP
Dos3,VOLAIL|SOQO,"Volailles, œufs|Bio, labels, signes de qualité",VOLAIL|SOQO
Dos30,RESFOR|EXFOSCI,"Forêts, bois et dérivés",BOIS
Dos31,TIC,Industries agro-alimentaires (IAA),IAA
Dos32,TAILLE|DIVERS,"Exploitations, spécialisation",EXPLOITSPEC
Dos33,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos34,SOQO|DIVERS|AGROEMP,"Bio, labels, signes de qualité|Exploitations, spécialisation|Population agricole, emploi",SOQO|EXPLOITSPEC|POPAGREMP
Dos35,SOQO|AGROEMP,"Bio, labels, signes de qualité|Population agricole, emploi",SOQO|POPAGREMP
Dos36,PROT|GC,Pratiques culturales|Grandes cultures,PRACULT|GC
Dos37,TISSU|IAAECO,Industries agro-alimentaires (IAA)|Résultats économiques des IAA,IAA|IAAECO
Dos38,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos39,PROT|VITI|AUTPRA,Pratiques culturales|Viticulture,PRACULT|VITI
Dos4,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos40,COMPTES,Résultats économiques des exploitations,RESECOMPTE
Dos41,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos42,COMPTES,Résultats économiques des exploitations,RESECOMPTE
Dos43,PROT,Pratiques culturales,PRACULT
Dos44,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos5,RESECO,Résultats économiques des exploitations,RESECOMPTE
Dos6,PRIX|FRUIT|LEGUME,"Prix, coûts de production|Fruits et légumes",COUTPRIX|FRUILEG
Dos7,COMPTES|RESECO|AIDE,"Résultats économiques des exploitations|Aides, PAC, Politiques publiques",RESECOMPTE|AIDPOLITIQ
Dos8,AUTPRA|RESECO|FRUIT|TOUTCULT|STATUT|LEGUME|VITI|FERTI|FOURRAGE|GC|TAILLE|HORTI|SOCIO|TISSU|COMPTES|BIO|AIDE|RESFOR|PROT|EXFOSCI|IAAECO|AUTANI,"Pratiques culturales|Résultats économiques des exploitations|Fruits et légumes|Toutes cultures, productions végétales|Exploitations, spécialisation|Viticulture|Fourrages et prairies|Grandes cultures|Autres cultures|Population agricole, emploi|Industries agro-alimentaires (IAA)|Sol|Aides, PAC, Politiques publiques|Forêts, bois et dérivés|Résultats économiques des IAA|Autres animaux et productions animales",PRACULT|RESECOMPTE|FRUILEG|TOUTCULT|EXPLOITSPEC|VITI|FOURRAGE|GC|AUTRCULT|POPAGREMP|IAA|SOLBIODIV|AIDPOLITIQ|BOIS|IAAECO|AUTANI
Dos9,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2020Chap0,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2020Chap1.1,CLIMAT,Climat,CLIMAT
GraFra2020Chap1.2,SOL|BIO,Sol,SOLBIODIV
GraFra2020Chap1.3,SOL|BIO,Sol,SOLBIODIV
GraFra2020Chap10.1,PRIX,"Prix, coûts de production",COUTPRIX
GraFra2020Chap10.2,ALIMCOMP|BILAN,"Alimentation, consommation|Commerce extérieur, approvisionnements",ALIMCOMP|COMEXTAPPRO
GraFra2020Chap10.3,SOQO,"Bio, labels, signes de qualité",SOQO
GraFra2020Chap11.1,COMEXT,"Commerce extérieur, approvisionnements",COMEXTAPPRO
GraFra2020Chap12.1,GC,Grandes cultures,GC
GraFra2020Chap12.10,VOLAIL,"Volailles, œufs",VOLAIL
GraFra2020Chap12.11,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2020Chap12.12,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2020Chap12.2,GC,Grandes cultures,GC
GraFra2020Chap12.3,LEGUME|FRUIT|HORTI,Fruits et légumes|Autres cultures,FRUILEG|AUTRCULT
GraFra2020Chap12.4,VITI,Viticulture,VITI
GraFra2020Chap12.5,PRAELEV,Pratiques d’élevage,PRAELEV
GraFra2020Chap12.6,BOVIN|LAIT,"Bovins, ovins, caprins, lait",CHEPTLAIT
GraFra2020Chap12.7,CAPOV|VOLAIL,"Bovins, ovins, caprins, lait|Volailles, œufs",CHEPTLAIT|VOLAIL
GraFra2020Chap12.8,AUTANI,Autres animaux et productions animales,AUTANI
GraFra2020Chap12.9,PORC,Porcins,PORC
GraFra2020Chap13.1,TAILLE|AGROEMP|RESECO,"Exploitations, spécialisation|Population agricole, emploi|Résultats économiques des exploitations",EXPLOITSPEC|POPAGREMP|RESECOMPTE
GraFra2020Chap2.1,STATUT,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2020Chap2.2,TAILLE,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2020Chap2.3,TAILLE|PRIX,"Exploitations, spécialisation|Prix, coûts de production",EXPLOITSPEC|COUTPRIX
GraFra2020Chap2.4,AGROINST|AIDE,"Installation, équipement|Aides, PAC, Politiques publiques",INSTEQUIP|AIDPOLITIQ
GraFra2020Chap2.5,EQUIP,"Installation, équipement",INSTEQUIP
GraFra2020Chap3.1,PROT|AUTPRA,Pratiques culturales,PRACULT
GraFra2020Chap3.2,PRAELEV,Pratiques d’élevage,PRAELEV
GraFra2020Chap3.3,PROT|FERTI,Pratiques culturales,PRACULT
GraFra2020Chap4.1,SOCIO,"Population agricole, emploi",POPAGREMP
GraFra2020Chap4.2,AGROEMP,"Population agricole, emploi",POPAGREMP
GraFra2020Chap4.3,AGROFORM,Formation,AGROFORM
GraFra2020Chap4.4,AGROFORM,Formation,AGROFORM
GraFra2020Chap5.1,COMPTES,Résultats économiques des exploitations,RESECOMPTE
GraFra2020Chap5.2,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2020Chap5.3,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2020Chap5.4,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2020Chap6.1,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2020Chap6.2,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2020Chap6.3,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2020Chap6.4,TISSU,Industries agro-alimentaires (IAA),IAA
GraFra2020Chap6.5,TIC,Industries agro-alimentaires (IAA),IAA
GraFra2020Chap6.6,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2020Chap6.7,IAAENV,Industries agro-alimentaires (IAA),IAA
GraFra2020Chap7.1,AQUAECO|AQUAPROD,"Pêche, aquaculture",PECHAQUA
GraFra2020Chap7.2,AQUAPROD,"Pêche, aquaculture",PECHAQUA
GraFra2020Chap7.3,COMMER|FERTI|TIC|LAIT|SOQO|IAAENV|TOUTCHEP|EAU|BIO|AIDE|PROT|CLIMAT|ALIMSECU|AQUAPROD|VEILLE|AUTANI|EVALPOL|PRAELEV|RESECO|PORC|ANASOC|ANAECO|BOVIN|HORTI|SANTE|COMEXT|SOCIO|TISSU|AGROFORM|RESFOR|AGROENV|IAAECO|AUTPRA|FRUIT|TOUTCULT|STATUT|VITI|BOISECO|TAILLE|CAPOV|VOLAIL|PROSP|AGROEMP|AQUAECO|EQUIP|COMPINT|LEGUME|ALIMCOMP|IAAFIL|FOURRAGE|GC|PRIX|AGROINST|COMPTES|RECBOIS|GRAMEM|AGROALIM|EXFOSCI|NRJ|SOL,"Exploitations, spécialisation|Pratiques culturales|Industries agro-alimentaires (IAA)|Bovins, ovins, caprins, lait|Bio, labels, signes de qualité|Tous animaux, productions animales|Eau|Sol|Aides, PAC, Politiques publiques|Climat|Santé, sécurité alimentaire|Pêche, aquaculture|Autres animaux et productions animales|Pratiques d’élevage|Résultats économiques des exploitations|Porcins|Autres cultures|Commerce extérieur, approvisionnements|Population agricole, emploi|Formation|Forêts, bois et dérivés|Agriculture et environnement|Résultats économiques des IAA|Fruits et légumes|Toutes cultures, productions végétales|Viticulture|Volailles, œufs|Installation, équipement|Alimentation, consommation|Marchés, filières|Fourrages et prairies|Grandes cultures|Prix, coûts de production|Données de cadrage|Énergie",EXPLOITSPEC|PRACULT|IAA|CHEPTLAIT|SOQO|TOUTCHEP|EAU|SOLBIODIV|AIDPOLITIQ|CLIMAT|SANTALIM|PECHAQUA|AUTANI|PRAELEV|RESECOMPTE|PORC|AUTRCULT|COMEXTAPPRO|POPAGREMP|AGROFORM|BOIS|AGROENV|IAAECO|FRUILEG|TOUTCULT|VITI|VOLAIL|INSTEQUIP|ALIMCOMP|IAAFIL|FOURRAGE|GC|COUTPRIX|GRAMEM|NRJ
GraFra2020Chap8.1,RECBOIS,"Forêts, bois et dérivés",BOIS
GraFra2020Chap8.2,BOISECO|COMEXT,"Forêts, bois et dérivés|Commerce extérieur, approvisionnements",BOIS|COMEXTAPPRO
GraFra2020Chap9.1,AGROENV,Agriculture et environnement,AGROENV
GraFra2020Chap9.2,AIDE|SOQO,"Aides, PAC, Politiques publiques|Bio, labels, signes de qualité",AIDPOLITIQ|SOQO
GraFra2020Chap9.3,SOQO,"Bio, labels, signes de qualité",SOQO
GraFra2020Chap9.4,AGROENV|PROT,Agriculture et environnement|Pratiques culturales,AGROENV|PRACULT
GraFra2020Chap9.5,AGROENV|IAAENV,Agriculture et environnement|Industries agro-alimentaires (IAA),AGROENV|IAA
GraFra2020Integral,GRAMEM,Données de cadrage,GRAMEM
GraFra2021Chap0.1,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2021Chap0.2,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2021Chap1.1,CLIMAT,Climat,CLIMAT
GraFra2021Chap1.2,SOL|BIO,Sol,SOLBIODIV
GraFra2021Chap1.3,SOL|BIO,Sol,SOLBIODIV
GraFra2021Chap10.1,PRIX,"Prix, coûts de production",COUTPRIX
GraFra2021Chap10.2,COMMER|FERTI|TIC|LAIT|SOQO|IAAENV|TOUTCHEP|EAU|BIO|AIDE|AQUASTRU|PROT|CLIMAT|ALIMSECU|AQUAPROD|VEILLE|AUTANI|EVALPOL|PRAELEV|RESECO|PORC|ANASOC|ANAECO|BOVIN|HORTI|SANTE|COMEXT|SOCIO|TISSU|AGROFORM|RESFOR|AGROENV|IAAECO|AUTPRA|FRUIT|TOUTCULT|STATUT|VITI|BOISECO|TAILLE|CAPOV|VOLAIL|PROSP|AGROEMP|AQUAECO|EQUIP|COMPINT|LEGUME|ALIMCOMP|IAAFIL|FOURRAGE|GC|BILAN|PRIX|AGROINST|DIVERS|COMPTES|RECBOIS|GRAMEM|AGROALIM|EXFOSCI|NRJ|SOL,"Exploitations, spécialisation|Pratiques culturales|Industries agro-alimentaires (IAA)|Bovins, ovins, caprins, lait|Bio, labels, signes de qualité|Tous animaux, productions animales|Eau|Sol|Aides, PAC, Politiques publiques|Pêche, aquaculture|Climat|Santé, sécurité alimentaire|Autres animaux et productions animales|Pratiques d’élevage|Résultats économiques des exploitations|Porcins|Autres cultures|Commerce extérieur, approvisionnements|Population agricole, emploi|Formation|Forêts, bois et dérivés|Agriculture et environnement|Résultats économiques des IAA|Fruits et légumes|Toutes cultures, productions végétales|Viticulture|Volailles, œufs|Installation, équipement|Alimentation, consommation|Marchés, filières|Fourrages et prairies|Grandes cultures|Prix, coûts de production|Données de cadrage|Énergie",EXPLOITSPEC|PRACULT|IAA|CHEPTLAIT|SOQO|TOUTCHEP|EAU|SOLBIODIV|AIDPOLITIQ|PECHAQUA|CLIMAT|SANTALIM|AUTANI|PRAELEV|RESECOMPTE|PORC|AUTRCULT|COMEXTAPPRO|POPAGREMP|AGROFORM|BOIS|AGROENV|IAAECO|FRUILEG|TOUTCULT|VITI|VOLAIL|INSTEQUIP|ALIMCOMP|IAAFIL|FOURRAGE|GC|COUTPRIX|GRAMEM|NRJ
GraFra2021Chap10.3,SOQO,"Bio, labels, signes de qualité",SOQO
GraFra2021Chap11.1,COMEXT,"Commerce extérieur, approvisionnements",COMEXTAPPRO
GraFra2021Chap12.1,GC,Grandes cultures,GC
GraFra2021Chap12.10,VOLAIL,"Volailles, œufs",VOLAIL
GraFra2021Chap12.11,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2021Chap12.12,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2021Chap12.2,GC,Grandes cultures,GC
GraFra2021Chap12.3,LEGUME|FRUIT|HORTI,Fruits et légumes|Autres cultures,FRUILEG|AUTRCULT
GraFra2021Chap12.4,VITI,Viticulture,VITI
GraFra2021Chap12.5,PRAELEV,Pratiques d’élevage,PRAELEV
GraFra2021Chap12.6,BOVIN|LAIT,"Bovins, ovins, caprins, lait",CHEPTLAIT
GraFra2021Chap12.7,CAPOV|VOLAIL,"Bovins, ovins, caprins, lait|Volailles, œufs",CHEPTLAIT|VOLAIL
GraFra2021Chap12.8,AUTANI,Autres animaux et productions animales,AUTANI
GraFra2021Chap12.9,PORC,Porcins,PORC
GraFra2021Chap13.1,TAILLE|AGROEMP|RESECO,"Exploitations, spécialisation|Population agricole, emploi|Résultats économiques des exploitations",EXPLOITSPEC|POPAGREMP|RESECOMPTE
GraFra2021Chap2.1,STATUT,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2021Chap2.2,TAILLE,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2021Chap2.3,TAILLE|PRIX,"Exploitations, spécialisation|Prix, coûts de production",EXPLOITSPEC|COUTPRIX
GraFra2021Chap2.4,AGROINST|AIDE,"Installation, équipement|Aides, PAC, Politiques publiques",INSTEQUIP|AIDPOLITIQ
GraFra2021Chap2.5,EQUIP,"Installation, équipement",INSTEQUIP
GraFra2021Chap3.1,PROT|AUTPRA,Pratiques culturales,PRACULT
GraFra2021Chap3.2,PRAELEV,Pratiques d’élevage,PRAELEV
GraFra2021Chap3.3,PROT|FERTI,Pratiques culturales,PRACULT
GraFra2021Chap4.1,SOCIO,"Population agricole, emploi",POPAGREMP
GraFra2021Chap4.2,AGROEMP,"Population agricole, emploi",POPAGREMP
GraFra2021Chap4.3,AGROFORM,Formation,AGROFORM
GraFra2021Chap4.4,AGROFORM,Formation,AGROFORM
GraFra2021Chap5.1,COMPTES,Résultats économiques des exploitations,RESECOMPTE
GraFra2021Chap5.2,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2021Chap5.3,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2021Chap5.4,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2021Chap6.1,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2021Chap6.2,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2021Chap6.3,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2021Chap6.4,TISSU,Industries agro-alimentaires (IAA),IAA
GraFra2021Chap6.5,TIC,Industries agro-alimentaires (IAA),IAA
GraFra2021Chap6.6,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2021Chap6.7,IAAENV,Industries agro-alimentaires (IAA),IAA
GraFra2021Chap7.1,AQUAECO|AQUAPROD,"Pêche, aquaculture",PECHAQUA
GraFra2021Chap7.2,AQUAPROD,"Pêche, aquaculture",PECHAQUA
GraFra2021Chap7.3,AQUAPROD|COMEXT,"Pêche, aquaculture|Commerce extérieur, approvisionnements",PECHAQUA|COMEXTAPPRO
GraFra2021Chap8.1,RECBOIS,"Forêts, bois et dérivés",BOIS
GraFra2021Chap8.2,BOISECO|COMEXT,"Forêts, bois et dérivés|Commerce extérieur, approvisionnements",BOIS|COMEXTAPPRO
GraFra2021Chap9.1,AGROENV,Agriculture et environnement,AGROENV
GraFra2021Chap9.2,AIDE|SOQO,"Aides, PAC, Politiques publiques|Bio, labels, signes de qualité",AIDPOLITIQ|SOQO
GraFra2021Chap9.3,SOQO,"Bio, labels, signes de qualité",SOQO
GraFra2021Chap9.4,AGROENV|PROT,Agriculture et environnement|Pratiques culturales,AGROENV|PRACULT
GraFra2021Chap9.5,AGROENV|IAAENV,Agriculture et environnement|Industries agro-alimentaires (IAA),AGROENV|IAA
GraFra2021Integral,GRAMEM,Données de cadrage,GRAMEM
GraFra2022Chap0.1,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2022Chap0.2,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2022Chap1.1,CLIMAT,Climat,CLIMAT
GraFra2022Chap1.2,SOL|BIO,Sol,SOLBIODIV
GraFra2022Chap1.3,SOL|BIO,Sol,SOLBIODIV
GraFra2022Chap10.1,PRIX,"Prix, coûts de production",COUTPRIX
GraFra2022Chap10.2,ALIMCOMP|BILAN,"Alimentation, consommation|Commerce extérieur, approvisionnements",ALIMCOMP|COMEXTAPPRO
GraFra2022Chap10.3,SOQO,"Bio, labels, signes de qualité",SOQO
GraFra2022Chap11.1,COMEXT,"Commerce extérieur, approvisionnements",COMEXTAPPRO
GraFra2022Chap12.1,GC,Grandes cultures,GC
GraFra2022Chap12.10,VOLAIL,"Volailles, œufs",VOLAIL
GraFra2022Chap12.11,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2022Chap12.12,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2022Chap12.2,GC,Grandes cultures,GC
GraFra2022Chap12.3,LEGUME|FRUIT|HORTI,Fruits et légumes|Autres cultures,FRUILEG|AUTRCULT
GraFra2022Chap12.4,VITI,Viticulture,VITI
GraFra2022Chap12.5,PRAELEV,Pratiques d’élevage,PRAELEV
GraFra2022Chap12.6,BOVIN|LAIT,"Bovins, ovins, caprins, lait",CHEPTLAIT
GraFra2022Chap12.7,CAPOV|VOLAIL,"Bovins, ovins, caprins, lait|Volailles, œufs",CHEPTLAIT|VOLAIL
GraFra2022Chap12.8,AUTANI,Autres animaux et productions animales,AUTANI
GraFra2022Chap12.9,PORC,Porcins,PORC
GraFra2022Chap13.1,TAILLE|AGROEMP|RESECO,"Exploitations, spécialisation|Population agricole, emploi|Résultats économiques des exploitations",EXPLOITSPEC|POPAGREMP|RESECOMPTE
GraFra2022Chap2.1,STATUT,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2022Chap2.2,TAILLE,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2022Chap2.3,TAILLE|PRIX,"Exploitations, spécialisation|Prix, coûts de production",EXPLOITSPEC|COUTPRIX
GraFra2022Chap2.4,AGROINST|AIDE,"Installation, équipement|Aides, PAC, Politiques publiques",INSTEQUIP|AIDPOLITIQ
GraFra2022Chap2.5,EQUIP,"Installation, équipement",INSTEQUIP
GraFra2022Chap3.1,PROT|AUTPRA,Pratiques culturales,PRACULT
GraFra2022Chap3.2,PRAELEV,Pratiques d’élevage,PRAELEV
GraFra2022Chap3.3,PROT|FERTI,Pratiques culturales,PRACULT
GraFra2022Chap4.1,SOCIO,"Population agricole, emploi",POPAGREMP
GraFra2022Chap4.2,AGROEMP,"Population agricole, emploi",POPAGREMP
GraFra2022Chap4.3,AGROFORM,Formation,AGROFORM
GraFra2022Chap4.4,AGROFORM,Formation,AGROFORM
GraFra2022Chap5.1,COMPTES,Résultats économiques des exploitations,RESECOMPTE
GraFra2022Chap5.2,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2022Chap5.3,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2022Chap5.4,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2022Chap6.1,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2022Chap6.2,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2022Chap6.3,IAAECO,Résultats économiques des IAA,IAAECO
GraFra2022Chap6.4,TISSU,Industries agro-alimentaires (IAA),IAA
GraFra2022Chap6.5,TIC,Industries agro-alimentaires (IAA),IAA
GraFra2022Chap6.6,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2022Chap6.7,IAAENV,Industries agro-alimentaires (IAA),IAA
GraFra2022Chap7.1,AQUAECO|AQUAPROD,"Pêche, aquaculture",PECHAQUA
GraFra2022Chap7.2,AQUAPROD,"Pêche, aquaculture",PECHAQUA
GraFra2022Chap7.3,AQUAPROD|COMEXT,"Pêche, aquaculture|Commerce extérieur, approvisionnements",PECHAQUA|COMEXTAPPRO
GraFra2022Chap8.1,RECBOIS,"Forêts, bois et dérivés",BOIS
GraFra2022Chap8.2,BOISECO|COMEXT,"Forêts, bois et dérivés|Commerce extérieur, approvisionnements",BOIS|COMEXTAPPRO
GraFra2022Chap9.1,AGROENV,Agriculture et environnement,AGROENV
GraFra2022Chap9.2,AIDE|SOQO,"Aides, PAC, Politiques publiques|Bio, labels, signes de qualité",AIDPOLITIQ|SOQO
GraFra2022Chap9.3,SOQO,"Bio, labels, signes de qualité",SOQO
GraFra2022Chap9.4,AGROENV|PROT,Agriculture et environnement|Pratiques culturales,AGROENV|PRACULT
GraFra2022Chap9.5,AGROENV|IAAENV,Agriculture et environnement|Industries agro-alimentaires (IAA),AGROENV|IAA
GraFra2022Integral,GRAMEM,Données de cadrage,GRAMEM
GraFra2023Chap0.1,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2023Chap0.2,RESECO,Résultats économiques des exploitations,RESECOMPTE
GraFra2023Chap1.1,CLIMAT,Climat,CLIMAT
GraFra2023Chap1.2,SOL|BIO,Sol,SOLBIODIV
GraFra2023Chap1.3,SOL|BIO,Sol,SOLBIODIV
GraFra2023Chap10.1,PRIX,"Prix, coûts de production",COUTPRIX
GraFra2023Chap10.2,ALIMCOMP|BILAN,"Alimentation, consommation|Commerce extérieur, approvisionnements",ALIMCOMP|COMEXTAPPRO
GraFra2023Chap10.3,SOQO,"Bio, labels, signes de qualité",SOQO
GraFra2023Chap11.1,COMEXT,"Commerce extérieur, approvisionnements",COMEXTAPPRO
GraFra2023Chap12.1,GC,Grandes cultures,GC
GraFra2023Chap12.10,VOLAIL,"Volailles, œufs",VOLAIL
GraFra2023Chap12.11,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2023Chap12.12,AGROALIM,Industries agro-alimentaires (IAA),IAA
GraFra2023Chap12.2,GC,Grandes cultures,GC
GraFra2023Chap12.3,LEGUME|FRUIT|HORTI,Fruits et légumes|Autres cultures,FRUILEG|AUTRCULT
GraFra2023Chap12.4,VITI,Viticulture,VITI
GraFra2023Chap12.5,PRAELEV,Pratiques d’élevage,PRAELEV
GraFra2023Chap12.6,BOVIN|LAIT,"Bovins, ovins, caprins, lait",CHEPTLAIT
GraFra2023Chap12.7,CAPOV|VOLAIL,"Bovins, ovins, caprins, lait|Volailles, œufs",CHEPTLAIT|VOLAIL
GraFra2023Chap12.8,AUTANI,Autres animaux et productions animales,AUTANI
GraFra2023Chap12.9,PORC,Porcins,PORC
GraFra2023Chap13.1,TAILLE|AGROEMP|RESECO,"Exploitations, spécialisation|Population agricole, emploi|Résultats économiques des exploitations",EXPLOITSPEC|POPAGREMP|RESECOMPTE
GraFra2023Chap2.1,STATUT,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2023Chap2.2,TAILLE,"Exploitations, spécialisation",EXPLOITSPEC
GraFra2023Chap2.3,TAILLE|PRIX,"Exploitations, spécialisation|Prix, coûts de production",EXPLOITSPEC|COUTPRIX
GraFra2023Chap2.4,AGROINST|AIDE,"Installation, équipement|Aides, PAC, Politiques publiques",INSTEQUIP|AIDPOLITIQ
