disaron_nom,disaron:theme,themes_labels,themes_codes
Ana144,TOUTCHEP|ANASOC|SANTE,"Tous animaux, productions animales|Aides, PAC, Politiques publiques|Santé, sécurité alimentaire",TOUTCHEP|AIDPOLITIQ|SANTALIM
Ana145,AGROEMP,"Population agricole, emploi",POPAGREMP
Ana145-en,AGROEMP|SOCIO|ANAECO,"Population agricole, emploi|Aides, PAC, Politiques publiques",POPAGREMP|AIDPOLITIQ
Ana146,BIO|DIVERS|PROSP,"Sol|Exploitations, spécialisation|Aides, PAC, Politiques publiques",SOLBIODIV|EXPLOITSPEC|AIDPOLITIQ
Ana147,BIO|RECBOIS|BOISECO|ANAECO,"Sol|Forêts, bois et dérivés|Aides, PAC, Politiques publiques",SOLBIODIV|BOIS|AIDPOLITIQ
Ana148,AIDE|COMPINT|PROSP,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana149,ANAECO|ALIMCOMP|TOUTCHEP,"Aides, PAC, Politiques publiques|Alimentation, consommation|Tous animaux, productions animales",AIDPOLITIQ|ALIMCOMP|TOUTCHEP
Ana15,FERTI|ANAECO|IAAFIL,"Pratiques culturales|Aides, PAC, Politiques publiques|Marchés, filières",PRACULT|AIDPOLITIQ|IAAFIL
Ana150,AGROENV|ANASOC|AGROFORM,"Agriculture et environnement|Aides, PAC, Politiques publiques|Formation",AGROENV|AIDPOLITIQ|AGROFORM
Ana151,AGROENV|BIO|ANAECO,"Agriculture et environnement|Sol|Aides, PAC, Politiques publiques",AGROENV|SOLBIODIV|AIDPOLITIQ
Ana152,ANAECO|TAILLE|SOCIO,"Aides, PAC, Politiques publiques|Exploitations, spécialisation|Population agricole, emploi",AIDPOLITIQ|EXPLOITSPEC|POPAGREMP
Ana153,ANAECO|TAILLE|SOCIO,"Aides, PAC, Politiques publiques|Exploitations, spécialisation|Population agricole, emploi",AIDPOLITIQ|EXPLOITSPEC|POPAGREMP
Ana154,ANAECO|TAILLE|SOCIO,"Aides, PAC, Politiques publiques|Exploitations, spécialisation|Population agricole, emploi",AIDPOLITIQ|EXPLOITSPEC|POPAGREMP
Ana155,ALIMCOMP|ANASOC,"Alimentation, consommation|Aides, PAC, Politiques publiques",ALIMCOMP|AIDPOLITIQ
Ana156,ANAECO|COMEXT|BOVIN,"Aides, PAC, Politiques publiques|Commerce extérieur, approvisionnements|Bovins, ovins, caprins, lait",AIDPOLITIQ|COMEXTAPPRO|CHEPTLAIT
Ana157,BOVIN|ANAECO|PROSP,"Bovins, ovins, caprins, lait|Aides, PAC, Politiques publiques",CHEPTLAIT|AIDPOLITIQ
Ana158,COMPINT|COMEXT|ANAECO,"Aides, PAC, Politiques publiques|Commerce extérieur, approvisionnements",AIDPOLITIQ|COMEXTAPPRO
Ana159,PROSP|ANASOC|CAPOV,"Aides, PAC, Politiques publiques|Bovins, ovins, caprins, lait",AIDPOLITIQ|CHEPTLAIT
Ana16,COMPINT|SOL|ALIMSECU,"Aides, PAC, Politiques publiques|Sol|Santé, sécurité alimentaire",AIDPOLITIQ|SOLBIODIV|SANTALIM
Ana160,AGROENV|BIO|GRAMEM,Agriculture et environnement|Sol|Données de cadrage,AGROENV|SOLBIODIV|GRAMEM
Ana161,AQUAPROD|AQUAECO|COMPINT,"Pêche, aquaculture|Aides, PAC, Politiques publiques",PECHAQUA|AIDPOLITIQ
Ana162,EVALPOL|BIO|ANAECO,"Aides, PAC, Politiques publiques|Sol",AIDPOLITIQ|SOLBIODIV
Ana163,AGROENV|BIO|TAILLE,"Agriculture et environnement|Sol|Exploitations, spécialisation",AGROENV|SOLBIODIV|EXPLOITSPEC
Ana164,ALIMCOMP|TOUTCHEP|VEILLE,"Alimentation, consommation|Tous animaux, productions animales|Aides, PAC, Politiques publiques",ALIMCOMP|TOUTCHEP|AIDPOLITIQ
Ana164-en,ALIMCOMP|TOUTCHEP|VEILLE,"Alimentation, consommation|Tous animaux, productions animales|Aides, PAC, Politiques publiques",ALIMCOMP|TOUTCHEP|AIDPOLITIQ
Ana165,COMMER|AGROINST|BIO,"Exploitations, spécialisation|Installation, équipement|Sol",EXPLOITSPEC|INSTEQUIP|SOLBIODIV
Ana166,AGROENV|AIDE|EVALPOL,"Agriculture et environnement|Aides, PAC, Politiques publiques",AGROENV|AIDPOLITIQ
Ana167,BIO|SOL|AGROENV,Sol|Agriculture et environnement,SOLBIODIV|AGROENV
Ana168,COMMER|RESECO|IAAFIL,"Exploitations, spécialisation|Résultats économiques des exploitations|Marchés, filières",EXPLOITSPEC|RESECOMPTE|IAAFIL
Ana168-en,ANAECO|COMMER|TOUTCHEP,"Aides, PAC, Politiques publiques|Exploitations, spécialisation|Tous animaux, productions animales",AIDPOLITIQ|EXPLOITSPEC|TOUTCHEP
Ana169,SOL|AGROENV|PROSP,"Sol|Agriculture et environnement|Aides, PAC, Politiques publiques",SOLBIODIV|AGROENV|AIDPOLITIQ
Ana17,NRJ|PROSP|AGROENV,"Énergie|Aides, PAC, Politiques publiques|Agriculture et environnement",NRJ|AIDPOLITIQ|AGROENV
Ana17-en,NRJ|PROSP|AGROENV,"Énergie|Aides, PAC, Politiques publiques|Agriculture et environnement",NRJ|AIDPOLITIQ|AGROENV
Ana170,AGROENV|RESECO|TAILLE,"Agriculture et environnement|Résultats économiques des exploitations|Exploitations, spécialisation",AGROENV|RESECOMPTE|EXPLOITSPEC
Ana171,EQUIP|AGROEMP|TIC,"Installation, équipement|Population agricole, emploi|Industries agro-alimentaires (IAA)",INSTEQUIP|POPAGREMP|IAA
Ana172,COMEXT|ANAECO|COMMER,"Commerce extérieur, approvisionnements|Aides, PAC, Politiques publiques|Exploitations, spécialisation",COMEXTAPPRO|AIDPOLITIQ|EXPLOITSPEC
