disaron:nom,dc:title,disaron:Complement_titre,disaron:chapeau,disaron:Auteur,disaron:categorie,disaron:sous_collection,disaron:theme,disaron:annees_reference,disaron:descripteur,disaron:niveau_geographique,disaron:donnees,disaron:Date_premiere_publication,disaron:date_derniere_publication,ecm:versionLabel,disaron:Numerotation,url,B,C,D,E
IraFru19133,"Poire. Au 1er septembre 2019, une production de poires en baisse, et des cours soutenus","Commercialisation, surface et production pour la campagne 2019","Au 1er septembre 2019, la production de poires de table est estimée à 127 000 tonnes pour 2019. Elle devrait baisser comparée à celle de 2018, mais avec des disparités selon les variétés et les régions.  La production de la poire d’été Williams recule net tement sur un an, dans un contexte de chute de la production européenne de poires.","[{nom_auteur=Bernadette, prenom_auteur=Laurent, Structure=SSP}]",NATIONAL,INFFRUI,FRUIT,2019,POIRE,FRANCE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-12-06T00:00:00.000Z\""\,\""Fichier\"":\""2019_133inforappoire.pdf\""}]",2019/12/06 15:31,2019/12/06 15:31,0.3,2019-133,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraFru19133/detail/,,,,
IraLeg25167,"Chou-fleur. En novembre, une offre excédentaire qui pèse fortement sur les cours","Commercialisation, surface et production pour la campagne 2025-2026","Selon les prévisions arrêtées au 1er décembre 2025, la production française de chouxfleurs est estimée à 201 800 tonnes pour la campagne 2025-2026, en baisse de 13 400 tonnes par rapport à 2024-2025. En novembre 2025, les prix ont été supérieurs de 6 % à ceux de 2024, mais inférieurs de près de 40 % à la moyenne des prix 2020-2024 sur le même mois, en raison d’une offre stimulée du fait de températures particulièrement douces pour la saison et d’une demande limitée pour les mêmes raisons.","[{nom_auteur=Raulo, prenom_auteur=Sébastien, Structure=SSP}, {nom_auteur=Leduc, prenom_auteur=Julie, Structure=SSP}]",NATIONAL,INFLEG,LEGUME,"2025, 2026",CHOU-FLEUR,FRANCE,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2025-12-19T08:14:54.920Z\""\,\""Fichier\"":\""2025_167inforapChou-fleur.pdf\""},{\""Type_de_fichier\"":\""5_FAS\""\,\""Date_chargement\"":\""2025-12-19T08:14:54.920Z\""\,\""Fichier\"":\""2025_167donneesChou-fleur.xlsx\""}]",2025/12/19 00:00,2025/12/19 16:10,0.3,2025-167,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraLeg25167/detail/,,,,

